"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1020093-10","","大隈重信記念館入口(1)","","33.24824","130.306808","1020093-10","","0","1020093","",""
"1020094-20","","竜校前(2)","","33.24588","130.30806","1020094-20","","0","1020094","",""
"1020095-10","","横小路(1)","","33.244397","130.308375","1020095-10","","0","1020095","",""
"1020096-01","","大崎(1)","","33.24174","130.31029","1020096-01","","0","1020096","",""
"1020097-20","","自動車学校前(2)","","33.23967","130.31569","1020097-20","","0","1020097","",""
"1020098-20","","南佐賀(2)","","33.23875","130.31766","1020098-20","","0","1020098","",""
"1020099-20","","東高校前(2)","","33.23731","130.32088","1020099-20","","0","1020099","",""
"1020100-20","","千々岩(2)","","33.23599","130.32393","1020100-20","","0","1020100","",""
"1020101-20","","光法西(2)","","33.23381","130.32872","1020101-20","","0","1020101","",""
"1020102-20","","光法(2)","","33.23177","130.33336","1020102-20","","0","1020102","",""
"1020103-20","","山領北(2)","","33.23066","130.33591","1020103-20","","0","1020103","",""
"1020104-20","","山領(2)","","33.22819","130.34134","1020104-20","","0","1020104","",""
"1020105-20","","野町(2)","","33.22703","130.34399","1020105-20","","0","1020105","",""
"1020106-20","","小杭(2)","","33.22479","130.34917","1020106-20","","0","1020106","",""
"1020107-20","","諸富支所前(2)","","33.22287","130.3533","1020107-20","","0","1020107","",""
"1020108-20","","諸富橋(2)","","33.22293","130.36049","1020108-20","","0","1020108","",""
"1020109-20","","昇開橋前(2)","","33.21791","130.36084","1020109-20","","0","1020109","",""
"1020110-20","","石塚(2)","","33.21554","130.35638","1020110-20","","0","1020110","",""
"1020111-20","","浮盃(2)","","33.21407","130.35289","1020111-20","","0","1020111","",""
"1020112-20","","寺井橋(2)","","33.21359","130.347","1020112-20","","0","1020112","",""
"1020113-10","","上下角","","33.212837","130.34223","1020113-10","","0","1020113","",""
"1020114-20","","佐野常民記念館入口(2)","","33.21267","130.33768","1020114-20","","0","1020114","",""
"1020115-20","","上早(2)","","33.21119","130.33548","1020115-20","","0","1020115","",""
"1020116-20","","中川副小学校前(2)","","33.20882","130.3354","1020116-20","","0","1020116","",""
"1020118-00","","早津江","","33.20546","130.3353","1020118-00","","0","1020118","",""
"1020117-00","","中早","","33.20673","130.33524","1020117-00","","0","1020117","",""
"1020116-10","","中川副小学校前(1)","","33.20877","130.33531","1020116-10","","0","1020116","",""
"1020115-10","","上早(1)","","33.21098","130.33537","1020115-10","","0","1020115","",""
"1020114-10","","佐野常民記念館入口(1)","","33.2128","130.33769","1020114-10","","0","1020114","",""
"1020113-20","","上下角","","33.212929","130.342592","1020113-20","","0","1020113","",""
"1020112-10","","寺井橋(1)","","33.21371","130.34642","1020112-10","","0","1020112","",""
"1020111-10","","浮盃(1)","","33.21412","130.35271","1020111-10","","0","1020111","",""
"1020110-10","","石塚(1)","","33.21553","130.35622","1020110-10","","0","1020110","",""
"1020109-10","","昇開橋前(1)","","33.2184","130.36099","1020109-10","","0","1020109","",""
"1020108-10","","諸富橋(1)","","33.22254","130.36145","1020108-10","","0","1020108","",""
"1020107-10","","諸富支所前(1)","","33.22268","130.35353","1020107-10","","0","1020107","",""
"1020106-10","","小杭(1)","","33.22456","130.34917","1020106-10","","0","1020106","",""
"1020105-10","","野町(1)","","33.226517","130.344875","1020105-10","","0","1020105","",""
"1020104-10","","山領(1)","","33.2282","130.34114","1020104-10","","0","1020104","",""
"1020103-10","","山領北(1)","","33.23013","130.33691","1020103-10","","0","1020103","",""
"1020102-10","","光法(1)","","33.232664","130.33116","1020102-10","","0","1020102","",""
"1020101-10","","光法西(1)","","33.23423","130.32762","1020101-10","","0","1020101","",""
"1020100-10","","千々岩(1)","","33.2355","130.32481","1020100-10","","0","1020100","",""
"1020099-10","","東高校前(1)","","33.23755","130.32016","1020099-10","","0","1020099","",""
"1020098-10","","南佐賀(1)","","33.23907","130.31671","1020098-10","","0","1020098","",""
"1020097-10","","自動車学校前(1)","","33.24046","130.31364","1020097-10","","0","1020097","",""
"1020096-02","","大崎(2)","","33.24173","130.31017","1020096-02","","0","1020096","",""
"1020095-20","","横小路(2)","","33.24328","130.308509","1020095-20","","0","1020095","",""
"1020094-10","","竜校前(1)","","33.24611","130.30795","1020094-10","","0","1020094","",""
"1020093-20","","大隈重信記念館入口(2)","","33.248487","130.306658","1020093-20","","0","1020093","",""
"1011039-05","","片田江(5)[片田江西]","","33.251284","130.305234","1011039-05","","0","1011039","",""
"1021119-20","","水ヶ江(2)","","33.2471","130.30908","1021119-20","","0","1021119","",""
"1021120-10","","朝日町(1)","","33.24748","130.31224","1021120-10","","0","1021120","",""
"1021121-20","","安住団地入口(2)","","33.24523","130.31444","1021121-20","","0","1021121","",""
"1021122-20","","武藤(2)","","33.24207","130.3161","1021122-20","","0","1021122","",""
